strains,gene_edit,spawn_type,spawn_weight,substrate_1,substrate_weight_1,substrate_2,substrate_weight_2,substrate_3,substrate_weight_3,substrate_4,substrate_weight_4,additive_1,additive_2,additive_3,water_absorption,bacteria,Temp_Growtent,Humidity_Growtent,Time_Growtent,CO2_conc,Press_type,Temp_Press,Force_Press,Time_Ovendrying,Temp_Ovendrying,Vacc_Overdrying
xxxxx,0,Bulgur,77,Sawdust,53,Rapstraw,202,Rapstraw,81,Sawdust,201,CaCO,CaSO4,CaCO,0.39,1,26,0.722214760376744,6,2500,Cold-Pressed,85,48,17,70,0.003
zzzzzzzz,1,Barley,58,Hemp,75,Straw,280,Rapstraw,66,Rapstraw,233,CaCO,CaCO,CaCO,0.56,0,22,0.7702480710919042,7,2000,Hot-Pressed,75,64,29,80,0.04
yyyyyyy,1,Buckwheat,77,Sawdust,100,Rapstraw,235,Hemp,97,Grass,294,CaCO,cellulose,CaCO,0.55,0,22,0.7817012674459292,19,1500,Hot-Pressed,75,29,17,85,0.011
yyyyyyy,0,BierTreber,93,Sawdust,93,Hemp,202,Vegiplants,53,Biertreber,242,cellulose,cellulose,cellulose,0.31,1,28,0.909554329827691,15,3000,Non-Pressed,85,78,41,85,0.021
zzzzzzzz,0,BierTreber,71,Rapstraw,71,Hemp,258,Hemp,98,Vegiplants,208,CaCO,CaSO4,cellulose,0.34,0,26,0.7048212750742161,20,2000,Non-Pressed,70,35,17,70,0.077
yyyyyyy,0,Buckwheat,61,Rapstraw,70,Biertreber,233,Grass,57,Straw,217,cellulose,cellulose,CaCO,0.31,1,25,0.8496772715417726,24,2500,Non-Pressed,80,58,53,80,0.071
xxxxx,0,Barley,80,Straw,55,Hemp,207,Grass,64,Hemp,299,cellulose,cellulose,cellulose,0.51,0,20,0.7216028227298396,21,2000,Non-Pressed,85,61,5,70,0.015
yyyyyyy,1,Barley,71,Rapstraw,73,Straw,228,Rapstraw,85,Vegiplants,265,CaCO,cellulose,CaCO,0.45,0,22,0.655575421098576,9,3500,Hot-Pressed,85,35,5,80,0.052
xxxxx,1,BierTreber,70,Biertreber,75,Straw,203,Hemp,60,Vegiplants,266,CaSO4,cellulose,CaCO,0.43,1,20,0.81175160718743,13,1000,Hot-Pressed,85,32,5,75,0.056
zzzzzzzz,1,Oatmeal,97,Biertreber,67,Sawdust,283,Hemp,70,Sawdust,257,CaCO,CaSO4,CaCO,0.6,1,22,0.8311640988910791,22,3500,Cold-Pressed,75,17,65,85,0.088
yyyyyyy,1,Bulgur,50,Biertreber,99,Biertreber,295,Rapstraw,99,Sawdust,293,cellulose,CaCO,cellulose,0.41,1,26,0.7023639595134376,5,3500,Cold-Pressed,70,24,29,85,0.077
zzzzzzzz,0,Buckwheat,73,Sawdust,51,Straw,233,Sawdust,73,Straw,235,CaSO4,cellulose,CaCO,0.57,1,26,0.647515477697454,5,2500,Hot-Pressed,75,42,41,70,0.01
zzzzzzzz,1,Bulgur,60,Vegiplants,93,Sawdust,259,Straw,71,Vegiplants,206,cellulose,cellulose,CaSO4,0.38,0,18,0.6286380591782399,12,500,Non-Pressed,85,43,53,80,0.01
yyyyyyy,0,Barley,50,Vegiplants,94,Hemp,268,Straw,57,Sawdust,247,CaSO4,cellulose,CaSO4,0.58,0,23,0.8147058758933404,8,3000,Cold-Pressed,75,78,53,85,0.025
yyyyyyy,0,Barley,93,Hemp,72,Sawdust,254,Biertreber,79,Straw,217,cellulose,CaCO,cellulose,0.39,0,18,0.771057811304098,13,3500,Hot-Pressed,70,30,41,75,0.049
zzzzzzzz,1,BierTreber,96,Sawdust,97,Sawdust,211,Vegiplants,83,Biertreber,294,cellulose,CaSO4,CaCO,0.49,0,26,0.6484544314614723,21,3500,Cold-Pressed,85,46,5,75,0.084
