strains,gene_edit,spawn_type,spawn_weight,substrate_1,substrate_weight_1,substrate_2,substrate_weight_2,substrate_3,substrate_weight_3,substrate_4,substrate_weight_4,additive_1,additive_weight_1,additive_2,additive_weight_2,additive_3,additive_weight_3,water_absorption,bacteria,Temp_Growtent,Humidity_Growtent,Time_Growtent,CO2_conc,Press_type,Temp_Press,Force_Press,Time_Ovendrying,Temp_Ovendrying,Vacc_Overdrying
xxxxx,0,Buckwheat,98,Hemp,101.0,Biertreber,322.0,Sawdust,215.0,Biertreber,262.0,cellulose,303.0,cellulose,389.0,CaCO,208.0,0.57,1,23,0.87,13,3500,Non-Pressed,75,38,29,85,0.031
yyyyyyy,0,Buckwheat,73,Rapstraw,140.0,Hemp,287.0,Rapstraw,188.0,Hemp,284.0,cellulose,339.0,CaSO4,123.0,CaCO,438.0,0.33,1,23,0.69,12,500,Non-Pressed,85,31,17,75,0.05
zzzzzzzz,1,Buckwheat,92,Sawdust,87.0,Rapstraw,300.0,Grass,237.0,Straw,276.0,cellulose,222.0,CaCO,44.0,CaSO4,634.0,0.54,1,20,0.85,14,2500,Non-Pressed,80,27,29,85,0.073
xxxxx,0,Bulgur,93,Straw,208.0,Vegiplants,321.0,Biertreber,208.0,Hemp,162.0,CaSO4,327.0,cellulose,327.0,CaSO4,246.0,0.36,0,20,0.93,18,3000,Non-Pressed,85,44,5,70,0.084
zzzzzzzz,0,Barley,62,Vegiplants,204.0,Straw,434.0,Hemp,131.0,Rapstraw,131.0,cellulose,392.0,cellulose,164.0,cellulose,344.0,0.6,1,27,0.81,20,3500,Cold-Pressed,75,22,5,80,0.089
yyyyyyy,0,Oatmeal,70,Grass,241.0,Hemp,250.0,Vegiplants,233.0,Hemp,176.0,CaSO4,298.0,cellulose,368.0,cellulose,234.0,0.56,1,19,0.94,19,2000,Non-Pressed,70,30,5,85,0.063
xxxxx,0,Oatmeal,93,Rapstraw,80.0,Straw,306.0,Biertreber,297.0,Hemp,218.0,CaCO,194.0,CaSO4,116.0,CaSO4,590.0,0.47,0,25,0.87,15,4000,Non-Pressed,80,25,17,70,0.032
yyyyyyy,1,Oatmeal,77,Hemp,146.0,Hemp,131.0,Straw,433.0,Sawdust,190.0,CaCO,30.0,CaSO4,595.0,CaCO,275.0,0.38,0,25,0.7,16,2500,Hot-Pressed,75,12,29,80,0.057
zzzzzzzz,0,Oatmeal,93,Straw,118.0,Rapstraw,59.0,Hemp,605.0,Biertreber,118.0,cellulose,20.0,CaSO4,487.0,CaCO,392.0,0.38,0,18,0.9,11,4500,Hot-Pressed,80,25,65,70,0.094
zzzzzzzz,0,Barley,68,Straw,217.0,Vegiplants,23.0,Rapstraw,326.0,Rapstraw,334.0,CaCO,548.0,cellulose,300.0,CaCO,52.0,0.49,1,21,0.83,15,2500,Cold-Pressed,85,30,17,85,0.084
yyyyyyy,0,Bulgur,79,Vegiplants,413.0,Biertreber,99.0,Straw,209.0,Grass,178.0,CaCO,427.0,CaSO4,77.0,CaSO4,395.0,0.32,1,24,0.75,8,4000,Non-Pressed,70,52,53,75,0.081
yyyyyyy,1,Barley,83,Sawdust,118.0,Sawdust,499.0,Straw,7.0,Grass,276.0,cellulose,154.0,CaCO,376.0,cellulose,370.0,0.55,1,27,0.8,25,4500,Non-Pressed,85,18,29,80,0.012
zzzzzzzz,0,Barley,77,Biertreber,0.0,Straw,313.0,Straw,222.0,Biertreber,365.0,CaSO4,447.0,CaCO,411.0,CaCO,42.0,0.52,1,21,0.92,10,2000,Hot-Pressed,75,70,29,70,0.046
zzzzzzzz,1,BierTreber,58,Hemp,204.0,Biertreber,36.0,Rapstraw,180.0,Sawdust,480.0,CaCO,284.0,cellulose,142.0,CaCO,474.0,0.56,1,18,0.72,12,2000,Cold-Pressed,75,75,41,70,0.003
yyyyyyy,0,BierTreber,96,Straw,527.0,Straw,82.0,Vegiplants,227.0,Grass,64.0,CaSO4,202.0,CaCO,484.0,cellulose,214.0,0.46,0,18,0.75,6,2000,Non-Pressed,75,44,5,85,0.025
yyyyyyy,0,BierTreber,86,Straw,307.0,Rapstraw,335.0,Rapstraw,119.0,Sawdust,139.0,CaCO,704.0,CaSO4,116.0,cellulose,80.0,0.41,0,23,0.72,21,1000,Non-Pressed,75,24,41,75,0.032
yyyyyyy,0,Oatmeal,50,Grass,214.0,Biertreber,256.0,Rapstraw,256.0,Straw,175.0,CaSO4,210.0,CaSO4,316.0,CaSO4,374.0,0.46,1,26,0.68,6,3000,Cold-Pressed,75,61,65,80,0.081
xxxxx,1,Bulgur,85,Hemp,167.0,Vegiplants,323.0,Rapstraw,217.0,Hemp,193.0,CaSO4,360.0,CaSO4,166.0,cellulose,374.0,0.53,0,22,0.86,12,2000,Cold-Pressed,70,52,53,80,0.078
zzzzzzzz,0,BierTreber,86,Grass,101.0,Straw,535.0,Grass,252.0,Rapstraw,13.0,cellulose,492.0,CaCO,358.0,CaCO,50.0,0.59,1,22,0.6,25,500,Cold-Pressed,85,49,53,70,0.098
yyyyyyy,0,Bulgur,81,Hemp,42.0,Straw,255.0,Sawdust,236.0,Biertreber,367.0,cellulose,299.0,cellulose,266.0,cellulose,335.0,0.44,0,22,0.9,13,3000,Hot-Pressed,75,35,5,70,0.007
zzzzzzzz,1,Barley,67,Vegiplants,195.0,Sawdust,165.0,Hemp,247.0,Biertreber,293.0,CaSO4,398.0,cellulose,174.0,cellulose,328.0,0.54,1,22,0.84,20,1500,Hot-Pressed,85,63,17,80,0.034
yyyyyyy,1,Barley,71,Rapstraw,335.0,Grass,338.0,Straw,12.0,Rapstraw,215.0,CaCO,281.0,CaSO4,437.0,cellulose,183.0,0.56,1,24,0.65,18,1500,Non-Pressed,70,12,29,75,0.064
zzzzzzzz,0,Bulgur,64,Sawdust,171.0,Hemp,331.0,Straw,353.0,Sawdust,44.0,cellulose,547.0,cellulose,168.0,CaSO4,185.0,0.32,1,28,0.64,14,2500,Hot-Pressed,85,29,65,70,0.049
yyyyyyy,0,Bulgur,90,Vegiplants,327.0,Hemp,78.0,Hemp,179.0,Biertreber,317.0,CaSO4,83.0,CaCO,404.0,CaCO,413.0,0.55,1,23,0.61,17,1500,Non-Pressed,85,45,29,85,0.046
xxxxx,1,Barley,67,Straw,327.0,Hemp,59.0,Biertreber,264.0,Vegiplants,250.0,CaSO4,204.0,CaCO,538.0,CaCO,158.0,0.35,1,23,0.64,21,4500,Cold-Pressed,70,15,65,70,0.059
zzzzzzzz,0,Buckwheat,74,Vegiplants,290.0,Rapstraw,133.0,Sawdust,231.0,Vegiplants,246.0,CaCO,207.0,CaSO4,257.0,CaCO,436.0,0.38,1,25,0.67,15,1000,Hot-Pressed,80,12,5,75,0.04
yyyyyyy,0,Barley,60,Straw,325.0,Grass,266.0,Rapstraw,135.0,Sawdust,174.0,cellulose,225.0,CaCO,675.0,CaCO,0.0,0.39,0,27,0.69,19,3500,Hot-Pressed,85,25,53,80,0.013
yyyyyyy,0,Bulgur,86,Rapstraw,144.0,Vegiplants,296.0,Hemp,315.0,Rapstraw,144.0,cellulose,68.0,cellulose,348.0,CaSO4,484.0,0.56,0,19,0.71,8,3500,Non-Pressed,70,16,65,70,0.032
xxxxx,0,BierTreber,92,Straw,190.0,Vegiplants,181.0,Hemp,234.0,Vegiplants,296.0,CaSO4,559.0,CaCO,303.0,cellulose,38.0,0.56,1,25,0.75,24,1000,Hot-Pressed,80,60,5,80,0.065
xxxxx,0,Bulgur,84,Sawdust,303.0,Biertreber,221.0,Grass,52.0,Straw,324.0,CaSO4,306.0,CaSO4,322.0,cellulose,272.0,0.58,1,28,0.91,13,3000,Cold-Pressed,75,24,17,85,0.038
xxxxx,0,Barley,73,Vegiplants,198.0,Straw,195.0,Grass,256.0,Vegiplants,251.0,CaCO,269.0,cellulose,88.0,cellulose,543.0,0.42,0,25,0.94,7,1500,Non-Pressed,75,20,41,70,0.056
zzzzzzzz,1,BierTreber,64,Sawdust,26.0,Rapstraw,389.0,Grass,311.0,Hemp,174.0,CaCO,129.0,cellulose,557.0,CaCO,214.0,0.48,1,22,0.6,19,4500,Cold-Pressed,85,22,53,75,0.099
xxxxx,0,BierTreber,50,Hemp,215.0,Grass,221.0,Hemp,105.0,Sawdust,359.0,CaSO4,373.0,CaCO,331.0,CaCO,196.0,0.6,0,19,0.64,13,2500,Non-Pressed,75,60,29,80,0.065
