strains,gene_edit,spawn_type,spawn_weight,substrate_1,substrate_weight_1,substrate_2,substrate_weight_2,substrate_3,substrate_weight_3,substrate_4,substrate_weight_4,additive_1,additive_2,additive_3,water_absorption,bacteria,Temp_Growtent,Humidity_Growtent,Time_Growtent,CO2_conc,Press_type,Temp_Press,Force_Press,Time_Ovendrying,Temp_Ovendrying,Vacc_Overdrying
xxxxx,1,BierTreber,69,Biertreber,74,Rapstraw,265,Sawdust,95,Rapstraw,289,CaSO4,CaSO4,CaSO4,0.41,0,21,0.7016579714797964,19,1000,Cold-Pressed,70,51,17,80,0.062
yyyyyyy,0,Oatmeal,99,Rapstraw,50,Vegiplants,247,Sawdust,71,Sawdust,206,CaCO,CaSO4,CaCO,0.42,0,19,0.7354662757906273,20,500,Cold-Pressed,80,64,5,85,0.096
yyyyyyy,1,Buckwheat,72,Vegiplants,50,Rapstraw,204,Biertreber,85,Sawdust,300,CaSO4,CaCO,CaCO,0.37,0,19,0.9452674506227094,22,500,Cold-Pressed,70,50,29,75,0.043
xxxxx,0,Bulgur,74,Sawdust,90,Biertreber,235,Sawdust,76,Vegiplants,292,CaCO,CaSO4,CaCO,0.4,1,18,0.6691912897247405,15,2000,Non-Pressed,80,40,29,70,0.041
xxxxx,0,Buckwheat,95,Sawdust,75,Biertreber,223,Grass,92,Straw,283,CaCO,CaCO,CaCO,0.42,1,19,0.753441168409772,16,500,Non-Pressed,80,43,53,70,0.032
xxxxx,1,Bulgur,73,Hemp,56,Grass,255,Rapstraw,100,Vegiplants,286,CaCO,CaSO4,cellulose,0.48,1,24,0.6306451159314835,12,3000,Non-Pressed,85,48,53,70,0.016
zzzzzzzz,1,BierTreber,55,Sawdust,98,Biertreber,265,Biertreber,53,Grass,272,CaSO4,CaCO,CaCO,0.55,1,28,0.6943822478959442,12,1500,Non-Pressed,80,69,65,75,0.093
zzzzzzzz,0,Bulgur,98,Sawdust,92,Biertreber,263,Straw,56,Rapstraw,252,cellulose,CaSO4,cellulose,0.51,0,24,0.8903518763063955,12,4500,Cold-Pressed,80,64,41,70,0.047
xxxxx,0,Oatmeal,64,Straw,75,Rapstraw,239,Grass,91,Hemp,268,CaCO,CaSO4,CaSO4,0.43,0,28,0.920848733949879,16,1000,Non-Pressed,70,45,65,80,0.077
zzzzzzzz,1,Oatmeal,57,Rapstraw,75,Biertreber,266,Sawdust,100,Vegiplants,279,cellulose,cellulose,CaCO,0.31,1,20,0.7770325148136366,8,2500,Cold-Pressed,85,46,17,75,0.091
