compressive_strength,compressive_strength_stdev,density,density_stdev,elastic_modulus,elastic_modulus_stdev,elongation_at_break,elongation_at_break_stdev,flexural_modulus,flexural_modulus_stdev,flexural_strenght,flexural_strenght_stdev,tensile_strength,tensile_strength_stdev,thermal_conductivity,thermal_conductivity_stdev,young_modulus,young_modulus_stdev
709,113.44,0.37,0.0629,81,19.439999999999998,2,0.4,20,3.2,0.69,0.034499999999999996,12.1,3.5089999999999995,5.21,0.7815,167,13.36
293,46.88,0.44,0.0748,99,23.759999999999998,1,0.2,59,9.44,0.2,0.010000000000000002,8.0,2.32,3.86,0.579,264,21.12
360,57.6,0.48,0.0816,19,4.56,0,0.0,77,12.32,0.89,0.044500000000000005,14.0,4.06,2.98,0.447,162,12.96
246,39.36,0.11,0.0187,53,12.719999999999999,0,0.0,40,6.4,0.88,0.044000000000000004,11.7,3.3929999999999993,6.18,0.9269999999999999,52,4.16
545,87.2,0.25,0.0425,33,7.92,2,0.4,7,1.12,0.16,0.008,6.7,1.9429999999999998,6.63,0.9944999999999999,164,13.120000000000001
295,47.2,0.24,0.0408,1,0.24,3,0.6000000000000001,27,4.32,0.83,0.0415,9.8,2.842,6.03,0.9045,270,21.6
897,143.52,0.29,0.049300000000000004,4,0.96,6,1.2000000000000002,4,0.64,0.06,0.003,15.8,4.582,6.29,0.9435,4,0.32
445,71.2,0.39,0.06630000000000001,74,17.759999999999998,0,0.0,86,13.76,0.61,0.0305,12.2,3.5379999999999994,4.47,0.6705,281,22.48
629,100.64,0.13,0.0221,72,17.28,6,1.2000000000000002,50,8.0,0.88,0.044000000000000004,12.7,3.6829999999999994,4.98,0.747,479,38.32
826,132.16,0.24,0.0408,66,15.84,2,0.4,68,10.88,0.6,0.03,10.5,3.045,7.97,1.1955,406,32.480000000000004
685,109.60000000000001,0.23,0.0391,37,8.879999999999999,1,0.2,91,14.56,0.18,0.009,10.8,3.132,2.36,0.354,356,28.48
593,94.88,0.4,0.068,20,4.8,7,1.4000000000000001,54,8.64,0.86,0.043000000000000003,12.0,3.4799999999999995,4.12,0.618,226,18.080000000000002
1126,180.16,0.16,0.027200000000000002,5,1.2,4,0.8,9,1.44,0.33,0.0165,5.8,1.682,7.14,1.071,321,25.68
638,102.08,0.43,0.0731,74,17.759999999999998,0,0.0,29,4.64,0.94,0.047,8.9,2.581,9.67,1.4505,173,13.84
106,16.96,0.18,0.030600000000000002,40,9.6,1,0.2,25,4.0,0.87,0.043500000000000004,10.3,2.987,1.19,0.1785,272,21.76
437,69.92,0.24,0.0408,95,22.8,1,0.2,3,0.48,0.1,0.005000000000000001,15.5,4.495,1.21,0.1815,178,14.24
532,85.12,0.28,0.04760000000000001,13,3.12,3,0.6000000000000001,67,10.72,0.18,0.009,12.3,3.567,9.43,1.4144999999999999,403,32.24
666,106.56,0.32,0.054400000000000004,31,7.4399999999999995,1,0.2,2,0.32,0.69,0.034499999999999996,16.1,4.6690000000000005,6.59,0.9884999999999999,367,29.36
1178,188.48,0.29,0.049300000000000004,46,11.04,1,0.2,41,6.5600000000000005,0.7,0.034999999999999996,6.5,1.8849999999999998,7.06,1.059,208,16.64
97,15.52,0.31,0.052700000000000004,113,27.119999999999997,7,1.4000000000000001,92,14.72,0.62,0.031,9.9,2.871,8.15,1.2225,54,4.32
353,56.480000000000004,0.18,0.030600000000000002,73,17.52,7,1.4000000000000001,23,3.68,0.25,0.0125,11.5,3.335,6.45,0.9675,185,14.8
573,91.68,0.31,0.052700000000000004,89,21.36,6,1.2000000000000002,58,9.28,0.07,0.0035000000000000005,7.1,2.0589999999999997,2.63,0.39449999999999996,181,14.48
271,43.36,0.43,0.0731,46,11.04,2,0.4,37,5.92,0.45,0.022500000000000003,11.4,3.306,4.16,0.624,148,11.84
1026,164.16,0.32,0.054400000000000004,72,17.28,1,0.2,80,12.8,0.67,0.0335,7.6,2.2039999999999997,7.66,1.149,8,0.64
